block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
31,cube0,0.373939,617,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653939,2729,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
31,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.585455,2616,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
32,cube0,0.304848,503,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.490909,2460,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
32,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.497576,2471,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
33,cube0,0.314545,519,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.572727,2595,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
33,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581212,2609,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
34,cube0,0.317576,524,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435758,2369,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
34,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.385455,2286,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
35,cube0,0.348485,575,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.528485,2522,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
35,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.549091,2556,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
36,cube0,0.341212,563,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.630909,2691,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
36,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.501818,2478,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
37,cube0,0.309697,511,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.660000,2739,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
37,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544848,2549,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
38,cube0,0.363030,599,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492727,2463,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
38,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.877576,3098,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
39,cube0,0.347879,574,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.580000,2607,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
39,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.486061,2452,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
40,cube0,0.349697,577,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.599394,2639,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
40,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420606,2344,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
41,cube0,0.290303,479,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.784848,2945,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
41,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.514545,2499,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
42,cube0,0.346061,571,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.561818,2577,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
42,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.535758,2534,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
43,cube0,0.294545,486,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
43,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.641818,2709,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
43,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.623636,2679,0.009458,0.006795,0.008493,0.000000,0.000000,0.000956,76032,
44,cube0,0.367273,606,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
