block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.483636,4098,0.212168,0.212168,0.215483,0.213825,2,0.011848,2,0.006752,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
10,cube0,0.517576,854,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.930909,3186,0.212168,0.212168,0.215483,0.213825,2,0.005941,2,0.003312,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864242,3076,0.212168,0.212168,0.215483,0.213825,2,0.006394,2,0.007025,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
11,cube0,0.478788,790,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234545,3687,0.212168,0.212168,0.215483,0.213825,2,0.005420,2,0.006564,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,0.212168,0.212168,0.215483,0.213825,2,0.005625,2,0.006504,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
12,cube0,0.420606,694,0.000000,0.000000,0.001658,0.001658,3,0.000043,2,0.000034,1,0.000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.003325,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.223636,3669,0.212168,0.212168,0.215483,0.213825,2,0.008306,2,0.007862,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.386667,3938,0.212168,0.212168,0.215483,0.213825,2,0.007623,2,0.005386,16.250000,16.125000,NA,NA,NA,NA,NA,NA,NA,NA,16.000000,0.096414,16.000000,0.113580,
