block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806061,2980,0.671515,0.009458,0.445455,0.006274,34.254429,0.471515,0.006641,32.361187,0.000000,0.412121,0.005805,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.129697,0.000000,
8,cube0,0.412121,680,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.366061,0.005156,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.133333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409091,3975,0.671515,0.009458,0.937576,0.013205,16.274729,0.707879,0.009970,21.555655,0.000000,0.400000,0.005634,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.112727,0.000000,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404243,3967,0.671515,0.009458,0.941818,0.013265,16.201416,0.253333,0.003568,60.232063,0.000000,0.493333,0.006948,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.130303,0.000000,
9,cube0,0.455152,751,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.407879,0.005745,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.116970,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.097576,3461,0.671515,0.009458,0.735152,0.010354,20.755978,0.324242,0.004567,47.059814,0.000000,0.550303,0.007751,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.117576,0.000000,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.483636,4098,0.671515,0.009458,0.841212,0.011848,18.139051,0.479394,0.006752,31.829330,0.000000,0.621212,0.008749,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.140000,0.000000,
10,cube0,0.517576,854,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.466667,0.006573,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.136970,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.930909,3186,0.671515,0.009458,0.421818,0.005941,36.173855,0.235152,0.003312,64.889175,0.000000,0.704242,0.009919,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.127879,0.000000,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864242,3076,0.671515,0.009458,0.453939,0.006394,33.614151,0.498788,0.007025,30.591738,0.000000,0.626061,0.008818,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.094545,0.000000,
11,cube0,0.478788,790,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.424242,0.005975,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.133939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.234545,3687,0.671515,0.009458,0.384848,0.005420,39.648819,0.466061,0.006564,32.739925,0.000000,0.760000,0.010704,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.115758,0.000000,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.003636,3306,0.671515,0.009458,0.399394,0.005625,38.204857,0.461818,0.006504,33.040684,0.000000,0.695758,0.009799,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.101818,0.000000,
12,cube0,0.420606,694,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.384848,0.005420,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.134545,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.223636,3669,0.671515,0.009458,0.589697,0.008306,25.875647,0.558182,0.007862,27.336594,0.000000,0.819394,0.011541,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.127879,0.000000,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.386667,3938,0.671515,0.009458,0.541212,0.007623,28.193731,0.382424,0.005386,39.900162,0.000000,0.813939,0.011464,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.096970,0.000000,
13,cube0,0.414545,684,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.375152,0.005284,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.105455,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.488485,4106,0.671515,0.009458,0.551515,0.007768,27.667034,0.365455,0.005147,41.752903,0.000000,0.853939,0.012027,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.133333,0.000000,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.122424,3502,0.671515,0.009458,0.701212,0.009876,21.760590,0.628485,0.008852,24.278688,0.000000,0.625455,0.008809,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.110909,0.000000,
14,cube0,0.420606,694,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.371515,0.005233,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.124242,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.414546,3984,0.671515,0.009458,0.441212,0.006214,34.583797,0.220000,0.003099,69.358131,0.000000,0.914545,0.012881,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.143030,0.000000,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.947273,3213,0.671515,0.009458,0.460000,0.006479,33.171280,0.229091,0.003227,66.605827,0.000000,0.695152,0.009791,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.113333,0.000000,
15,cube0,0.455758,752,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.404242,0.005694,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.100606,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.086061,3442,0.671515,0.009458,0.479394,0.006752,31.829330,0.380606,0.005361,40.090767,0.000000,0.796364,0.011216,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.146061,0.000000,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.261818,3732,0.671515,0.009458,0.175758,0.002475,86.817253,0.448485,0.006317,34.022980,0.000000,1.008485,0.014204,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.111515,0.000000,
16,cube0,0.438182,723,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.397576,0.005600,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.131515,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.323030,3833,0.671515,0.009458,0.458788,0.006462,33.258919,0.235758,0.003321,64.722374,0.000000,1.039394,0.014639,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.121212,0.000000,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.490303,4109,0.671515,0.009458,0.433939,0.006112,35.163410,0.247273,0.003483,61.708336,0.000000,1.017576,0.014332,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.109697,0.000000,
17,cube0,0.410909,678,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.367879,0.005181,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.110909,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.608485,4304,0.671515,0.009458,0.392121,0.005523,38.913448,0.544242,0.007665,28.036749,0.000000,1.126667,0.015869,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.114545,0.000000,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218182,3660,0.671515,0.009458,0.481818,0.006786,31.669184,0.543030,0.007648,28.099333,0.000000,0.929091,0.013086,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.107879,0.000000,
18,cube0,0.460606,760,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.408485,0.005753,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.116970,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.438182,4023,0.671515,0.009458,0.441818,0.006223,34.536354,0.235758,0.003321,64.722374,0.000000,1.086667,0.015305,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.124848,0.000000,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154546,3555,0.671515,0.009458,0.286667,0.004038,53.228333,0.230909,0.003252,66.081367,0.000000,1.041818,0.014673,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.111515,0.000000,
19,cube0,0.461212,761,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.406061,0.005719,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.138182,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.635758,4349,0.671515,0.009458,0.398788,0.005617,38.262920,0.466061,0.006564,32.739925,0.000000,1.135152,0.015988,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.126667,0.000000,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.269697,3745,0.671515,0.009458,0.175758,0.002475,86.817253,0.386667,0.005446,39.462387,0.000000,1.166061,0.016423,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.121212,0.000000,
20,cube0,0.352121,581,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.309091,0.004353,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.110303,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.527273,2520,0.671515,0.009458,0.418788,0.005898,36.435604,0.239394,0.003372,63.739246,0.000000,0.300000,0.004225,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.113333,0.000000,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509697,2491,0.671515,0.009458,0.433333,0.006103,35.212593,0.242424,0.003414,62.942505,0.000000,0.269697,0.003799,0.032727,0.057576,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,
21,cube0,0.289697,478,0.000000,0.000000,0.003030,0.000043,0.002424,0.000034,0.001212,0.000017,393.390656,0.000606,0.000009,0.000000,0.000000,0.244242,0.003440,0.031515,0.040000,0.000000,0.000000,0.000000,0.000000,0.142424,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
