block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
21,vector0,NA,NA,NA,NA,NA,NA,1.467879,2422,0.002211,0.002185,0.000026,0.000000,0.000000,0.003039,0.000000,0.012292,
21,vector1,NA,NA,NA,NA,NA,NA,1.459394,2408,0.002211,0.002185,0.000026,0.000000,0.000000,0.002475,0.000000,0.014656,
22,cube0,0.347879,574,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,1.563636,2580,0.002211,0.002185,0.000026,0.000000,0.000000,0.006155,0.000000,0.013965,
22,vector1,NA,NA,NA,NA,NA,NA,1.544242,2548,0.002211,0.002185,0.000026,0.000000,0.000000,0.005898,0.000000,0.014460,
23,cube0,0.290909,480,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,1.646061,2716,0.002211,0.002185,0.000026,0.000000,0.000000,0.003636,0.000000,0.011942,
23,vector1,NA,NA,NA,NA,NA,NA,1.638182,2703,0.002211,0.002185,0.000026,0.000000,0.000000,0.003585,0.000000,0.013222,
24,cube0,0.366667,605,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,vector0,NA,NA,NA,NA,NA,NA,1.493333,2464,0.002211,0.002185,0.000026,0.000000,0.000000,0.005207,0.000000,0.015706,
24,vector1,NA,NA,NA,NA,NA,NA,1.513939,2498,0.002211,0.002185,0.000026,0.000000,0.000000,0.006078,0.000000,0.014656,
25,cube0,0.321818,531,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,vector0,NA,NA,NA,NA,NA,NA,1.575758,2600,0.002211,0.002185,0.000026,0.000000,0.000000,0.004789,0.000000,0.015049,
25,vector1,NA,NA,NA,NA,NA,NA,1.609697,2656,0.002211,0.002185,0.000026,0.000000,0.000000,0.005258,0.000000,0.013641,
26,cube0,0.313939,518,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,vector0,NA,NA,NA,NA,NA,NA,1.553333,2563,0.002211,0.002185,0.000026,0.000000,0.000000,0.004302,0.000000,0.013931,
26,vector1,NA,NA,NA,NA,NA,NA,1.499394,2474,0.002211,0.002185,0.000026,0.000000,0.000000,0.005608,0.000000,0.013683,
27,cube0,0.340000,561,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,vector0,NA,NA,NA,NA,NA,NA,1.557576,2570,0.002211,0.002185,0.000026,0.000000,0.000000,0.003321,0.000000,0.013393,
27,vector1,NA,NA,NA,NA,NA,NA,1.666667,2750,0.002211,0.002185,0.000026,0.000000,0.000000,0.004157,0.000000,0.013052,
28,cube0,0.315758,521,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,vector0,NA,NA,NA,NA,NA,NA,1.503030,2480,0.002211,0.002185,0.000026,0.000000,0.000000,0.006137,0.000000,0.014861,
28,vector1,NA,NA,NA,NA,NA,NA,1.480000,2442,0.002211,0.002185,0.000026,0.000000,0.000000,0.005668,0.000000,0.015160,
29,cube0,0.352727,582,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29,vector0,NA,NA,NA,NA,NA,NA,1.564849,2582,0.002211,0.002185,0.000026,0.000000,0.000000,0.003150,0.000000,0.012539,
29,vector1,NA,NA,NA,NA,NA,NA,1.398182,2307,0.002211,0.002185,0.000026,0.000000,0.000000,0.002749,0.000000,0.013436,
30,cube0,0.330909,546,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,NA,NA,NA,NA,1.481818,2445,0.002211,0.002185,0.000026,0.000000,0.000000,0.005284,0.000000,0.015271,
30,vector1,NA,NA,NA,NA,NA,NA,1.461212,2411,0.002211,0.002185,0.000026,0.000000,0.000000,0.005318,0.000000,0.015058,
31,cube0,0.373939,617,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,NA,NA,NA,NA,1.653939,2729,0.002211,0.002185,0.000026,0.000000,0.000000,0.004353,0.000000,0.012787,
31,vector1,NA,NA,NA,NA,NA,NA,1.585455,2616,0.002211,0.002185,0.000026,0.000000,0.000000,0.003303,0.000000,0.014324,
32,cube0,0.304848,503,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,NA,NA,NA,NA,1.490909,2460,0.002211,0.002185,0.000026,0.000000,0.000000,0.005472,0.000000,0.013897,
32,vector1,NA,NA,NA,NA,NA,NA,1.497576,2471,0.002211,0.002185,0.000026,0.000000,0.000000,0.005719,0.000000,0.014981,
33,cube0,0.314545,519,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,NA,NA,NA,NA,1.572727,2595,0.002211,0.002185,0.000026,0.000000,0.000000,0.003534,0.000000,0.012744,
33,vector1,NA,NA,NA,NA,NA,NA,1.581212,2609,0.002211,0.002185,0.000026,0.000000,0.000000,0.003730,0.000000,0.012369,
34,cube0,0.317576,524,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,NA,NA,NA,NA,1.435758,2369,0.002211,0.002185,0.000026,0.000000,0.000000,0.005011,0.000000,0.016372,
34,vector1,NA,NA,NA,NA,NA,NA,1.385455,2286,0.002211,0.002185,0.000026,0.000000,0.000000,0.003952,0.000000,0.018344,
35,cube0,0.348485,575,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,NA,NA,NA,NA,1.528485,2522,0.002211,0.002185,0.000026,0.000000,0.000000,0.003901,0.000000,0.014494,
35,vector1,NA,NA,NA,NA,NA,NA,1.549091,2556,0.002211,0.002185,0.000026,0.000000,0.000000,0.002552,0.000000,0.016278,
36,cube0,0.341212,563,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,NA,NA,NA,NA,1.630909,2691,0.002211,0.002185,0.000026,0.000000,0.000000,0.007426,0.000000,0.017362,
36,vector1,NA,NA,NA,NA,NA,NA,1.501818,2478,0.002211,0.002185,0.000026,0.000000,0.000000,0.005736,0.000000,0.016347,
37,cube0,0.309697,511,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,NA,NA,NA,NA,1.660000,2739,0.002211,0.002185,0.000026,0.000000,0.000000,0.005634,0.000000,0.015630,
37,vector1,NA,NA,NA,NA,NA,NA,1.544848,2549,0.002211,0.002185,0.000026,0.000000,0.000000,0.003568,0.000000,0.013487,
