block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
41,cube0,0.290303,479,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.784848,2945,65,0,65,0,65,0,100.000000,100.000000,100.000000,
41,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.514545,2499,65,0,1,64,1,64,100.000000,1.538462,34.358974,
42,cube0,0.346061,571,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.561818,2577,1,64,1,64,1,64,1.538462,1.538462,1.538462,
42,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.535758,2534,1,64,1,64,1,64,1.538462,1.538462,1.538462,
43,cube0,0.294545,486,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
43,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.641818,2709,65,0,65,0,65,0,100.000000,100.000000,100.000000,
43,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.623636,2679,65,0,65,0,65,0,100.000000,100.000000,100.000000,
44,cube0,0.367273,606,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
44,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.406061,2320,1,64,1,64,1,64,1.538462,1.538462,1.538462,
44,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.380606,2278,1,64,1,64,1,64,1.538462,1.538462,1.538462,
45,cube0,0.322424,532,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
45,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.681212,2774,65,0,65,0,65,0,100.000000,100.000000,100.000000,
45,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.443030,2381,65,0,65,0,65,0,100.000000,100.000000,100.000000,
46,cube0,0.312121,515,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.530303,2525,1,64,1,64,1,64,1.538462,1.538462,1.538462,
46,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.005455,3309,1,64,1,68,1,60,1.538462,1.538462,1.538462,
47,cube0,0.343636,567,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.639394,2705,65,0,61,0,69,0,100.000000,100.000000,100.000000,
47,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544848,2549,65,0,65,0,65,0,100.000000,100.000000,100.000000,
48,cube0,0.316364,522,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.530909,2526,1,64,2,64,0,64,1.538462,1.538462,1.538462,
48,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.868485,3083,10,55,1,64,1,64,15.384615,1.538462,6.153846,
49,cube0,0.352727,582,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.596364,2634,65,0,65,0,65,0,100.000000,100.000000,100.000000,
49,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.547879,2554,56,9,65,0,65,0,86.153847,100.000000,95.384613,
