block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
53,vector0,NA,NA,1.695758,2798,2.970346,2.333844,0.000000,0.000000,
53,vector1,NA,NA,1.572727,2595,2.970346,2.333844,0.000000,0.000000,
54,cube0,0.321212,530,NA,NA,NA,NA,NA,NA,
54,vector0,NA,NA,1.475758,2435,2.970346,2.333844,0.000000,0.000000,
54,vector1,NA,NA,1.804848,2978,2.970346,2.333844,0.000000,0.000000,
55,cube0,0.352727,582,NA,NA,NA,NA,NA,NA,
55,vector0,NA,NA,1.590303,2624,2.970346,2.333844,0.000000,0.000000,
55,vector1,NA,NA,1.580000,2607,2.970346,2.333844,0.000000,0.000000,
56,cube0,0.340000,561,NA,NA,NA,NA,NA,NA,
56,vector0,NA,NA,1.623636,2679,2.970346,2.333844,0.000000,0.000000,
56,vector1,NA,NA,1.537576,2537,2.970346,2.333844,0.000000,0.000000,
57,cube0,0.306667,506,NA,NA,NA,NA,NA,NA,
57,vector0,NA,NA,1.818788,3001,2.970346,2.333844,0.000000,0.000000,
57,vector1,NA,NA,1.663636,2745,2.970346,2.333844,0.000000,0.000000,
58,cube0,0.364242,601,NA,NA,NA,NA,NA,NA,
58,vector0,NA,NA,1.497576,2471,2.970346,2.333844,0.000000,0.000000,
58,vector1,NA,NA,1.689091,2787,2.970346,2.333844,0.000000,0.000000,
59,cube0,0.350909,579,NA,NA,NA,NA,NA,NA,
59,vector0,NA,NA,1.587879,2620,2.970346,2.333844,0.000000,0.000000,
59,vector1,NA,NA,1.383030,2282,2.970346,2.333844,0.000000,0.000000,
60,cube0,0.347273,573,NA,NA,NA,NA,NA,NA,
60,vector0,NA,NA,1.565455,2583,2.970346,2.333844,0.000000,0.000000,
60,vector1,NA,NA,1.529091,2523,2.970346,2.333844,0.000000,0.000000,
61,cube0,0.293333,484,NA,NA,NA,NA,NA,NA,
61,vector0,NA,NA,1.632121,2693,2.970346,2.333844,0.000000,0.000000,
61,vector1,NA,NA,1.732121,2858,2.970346,2.333844,0.000000,0.000000,
62,cube0,0.344848,569,NA,NA,NA,NA,NA,NA,
62,vector0,NA,NA,1.416970,2338,2.970346,2.333844,0.000000,0.000000,
62,vector1,NA,NA,1.447879,2389,2.970346,2.333844,0.000000,0.000000,
63,cube0,0.294545,486,NA,NA,NA,NA,NA,NA,
63,vector0,NA,NA,1.426667,2354,2.970346,2.333844,0.000000,0.000000,
63,vector1,NA,NA,1.502424,2479,2.970346,2.333844,0.000000,0.000000,
64,cube0,0.363636,600,NA,NA,NA,NA,NA,NA,
64,vector0,NA,NA,1.561818,2577,2.970346,2.333844,0.000000,0.000000,
64,vector1,NA,NA,1.518182,2505,2.970346,2.333844,0.000000,0.000000,
65,cube0,0.323636,534,NA,NA,NA,NA,NA,NA,
65,vector0,NA,NA,1.741818,2874,2.970346,2.333844,0.000000,0.000000,
65,vector1,NA,NA,1.587273,2619,2.970346,2.333844,0.000000,0.000000,
66,cube0,0.312727,516,NA,NA,NA,NA,NA,NA,
66,vector0,NA,NA,1.512727,2496,2.970346,2.333844,0.000000,0.000000,
66,vector1,NA,NA,2.020000,3333,2.970346,2.333844,0.000000,0.000000,
67,cube0,0.343030,566,NA,NA,NA,NA,NA,NA,
67,vector0,NA,NA,1.695758,2798,2.970346,2.333844,0.000000,0.000000,
67,vector1,NA,NA,1.573333,2596,2.970346,2.333844,0.000000,0.000000,
68,cube0,0.315152,520,NA,NA,NA,NA,NA,NA,
68,vector0,NA,NA,1.518182,2505,2.970346,2.333844,0.000000,0.000000,
68,vector1,NA,NA,1.885455,3111,2.970346,2.333844,0.000000,0.000000,
69,cube0,0.351515,580,NA,NA,NA,NA,NA,NA,
69,vector0,NA,NA,1.736970,2866,2.970346,2.333844,0.000000,0.000000,
69,vector1,NA,NA,1.689697,2788,2.970346,2.333844,0.000000,0.000000,
70,cube0,0.329697,544,NA,NA,NA,NA,NA,NA,
70,vector0,NA,NA,1.373333,2266,2.970346,2.333844,0.000000,0.000000,
70,vector1,NA,NA,1.536364,2535,2.970346,2.333844,0.000000,0.000000,
71,cube0,0.376970,622,NA,NA,NA,NA,NA,NA,
71,vector0,NA,NA,1.632121,2693,2.970346,2.333844,0.000000,0.000000,
71,vector1,NA,NA,1.651515,2725,2.970346,2.333844,0.000000,0.000000,
72,cube0,0.306061,505,NA,NA,NA,NA,NA,NA,
72,vector0,NA,NA,1.460000,2409,2.970346,2.333844,0.000000,0.000000,
72,vector1,NA,NA,1.366061,2254,2.970346,2.333844,0.000000,0.000000,
73,cube0,0.308485,509,NA,NA,NA,NA,NA,NA,
73,vector0,NA,NA,1.564849,2582,2.970346,2.333844,0.000000,0.000000,
73,vector1,NA,NA,1.421818,2346,2.970346,2.333844,0.000000,0.000000,
74,cube0,0.320000,528,NA,NA,NA,NA,NA,NA,
74,vector0,NA,NA,1.552121,2561,2.970346,2.333844,0.000000,0.000000,
74,vector1,NA,NA,1.998182,3297,2.970346,2.333844,0.000000,0.000000,
75,cube0,0.360606,595,NA,NA,NA,NA,NA,NA,
75,vector0,NA,NA,1.732727,2859,2.970346,2.333844,0.000000,0.000000,
75,vector1,NA,NA,1.597576,2636,2.970346,2.333844,0.000000,0.000000,
76,cube0,0.343636,567,NA,NA,NA,NA,NA,NA,
76,vector0,NA,NA,1.555151,2566,2.970346,2.333844,0.000000,0.000000,
76,vector1,NA,NA,1.795758,2963,2.970346,2.333844,0.000000,0.000000,
77,cube0,0.304242,502,NA,NA,NA,NA,NA,NA,
77,vector0,NA,NA,1.715758,2831,2.970346,2.333844,0.000000,0.000000,
77,vector1,NA,NA,1.569091,2589,2.970346,2.333844,0.000000,0.000000,
78,cube0,0.363636,600,NA,NA,NA,NA,NA,NA,
78,vector0,NA,NA,1.648485,2720,2.970346,2.333844,0.000000,0.000000,
78,vector1,NA,NA,1.417576,2339,2.970346,2.333844,0.000000,0.000000,
79,cube0,0.348485,575,NA,NA,NA,NA,NA,NA,
79,vector0,NA,NA,1.826667,3014,2.970346,2.333844,0.000000,0.000000,
79,vector1,NA,NA,1.672121,2759,2.970346,2.333844,0.000000,0.000000,
80,cube0,0.349091,576,NA,NA,NA,NA,NA,NA,
80,vector0,NA,NA,1.519394,2507,2.970346,2.333844,0.000000,0.000000,
80,vector1,NA,NA,1.513939,2498,2.970346,2.333844,0.000000,0.000000,
81,cube0,0.289697,478,NA,NA,NA,NA,NA,NA,
81,vector0,NA,NA,1.627273,2685,2.970346,2.333844,0.000000,0.000000,
81,vector1,NA,NA,1.614545,2664,2.970346,2.333844,0.000000,0.000000,
82,cube0,0.344848,569,NA,NA,NA,NA,NA,NA,
82,vector0,NA,NA,1.468485,2423,2.970346,2.333844,0.000000,0.000000,
82,vector1,NA,NA,1.732121,2858,2.970346,2.333844,0.000000,0.000000,
83,cube0,0.292727,483,NA,NA,NA,NA,NA,NA,
83,vector0,NA,NA,1.617576,2669,2.970346,2.333844,0.000000,0.000000,
83,vector1,NA,NA,1.520606,2509,2.970346,2.333844,0.000000,0.000000,
84,cube0,0.364848,602,NA,NA,NA,NA,NA,NA,
84,vector0,NA,NA,1.480000,2442,2.970346,2.333844,0.000000,0.000000,
84,vector1,NA,NA,1.541212,2543,2.970346,2.333844,0.000000,0.000000,
85,cube0,0.323636,534,NA,NA,NA,NA,NA,NA,
85,vector0,NA,NA,1.648485,2720,2.970346,2.333844,0.000000,0.000000,
85,vector1,NA,NA,1.807273,2982,2.970346,2.333844,0.000000,0.000000,
86,cube0,0.311515,514,NA,NA,NA,NA,NA,NA,
86,vector0,NA,NA,1.481818,2445,2.970346,2.333844,0.000000,0.000000,
86,vector1,NA,NA,1.666667,2750,2.970346,2.333844,0.000000,0.000000,
87,cube0,0.341212,563,NA,NA,NA,NA,NA,NA,
87,vector0,NA,NA,1.447879,2389,2.970346,2.333844,0.000000,0.000000,
87,vector1,NA,NA,1.619394,2672,2.970346,2.333844,0.000000,0.000000,
88,cube0,0.315758,521,NA,NA,NA,NA,NA,NA,
88,vector0,NA,NA,1.489091,2457,2.970346,2.333844,0.000000,0.000000,
88,vector1,NA,NA,1.598182,2637,2.970346,2.333844,0.000000,0.000000,
89,cube0,0.352121,581,NA,NA,NA,NA,NA,NA,
89,vector0,NA,NA,1.601212,2642,2.970346,2.333844,0.000000,0.000000,
89,vector1,NA,NA,1.771515,2923,2.970346,2.333844,0.000000,0.000000,
90,cube0,0.327879,541,NA,NA,NA,NA,NA,NA,
90,vector0,NA,NA,1.760606,2905,2.970346,2.333844,0.000000,0.000000,
90,vector1,NA,NA,1.902424,3139,2.970346,2.333844,0.000000,0.000000,
91,cube0,0.383030,632,NA,NA,NA,NA,NA,NA,
91,vector0,NA,NA,1.529091,2523,2.970346,2.333844,0.000000,0.000000,
91,vector1,NA,NA,1.550303,2558,2.970346,2.333844,0.000000,0.000000,
92,cube0,0.306667,506,NA,NA,NA,NA,NA,NA,
92,vector0,NA,NA,1.579394,2606,2.970346,2.333844,0.000000,0.000000,
92,vector1,NA,NA,1.558182,2571,2.970346,2.333844,0.000000,0.000000,
93,cube0,0.309091,510,NA,NA,NA,NA,NA,NA,
93,vector0,NA,NA,1.511515,2494,2.970346,2.333844,0.000000,0.000000,
93,vector1,NA,NA,1.505455,2484,2.970346,2.333844,0.000000,0.000000,
94,cube0,0.317576,524,NA,NA,NA,NA,NA,NA,
94,vector0,NA,NA,1.427273,2355,2.970346,2.333844,0.000000,0.000000,
94,vector1,NA,NA,1.825455,3012,2.970346,2.333844,0.000000,0.000000,
95,cube0,0.348485,575,NA,NA,NA,NA,NA,NA,
95,vector0,NA,NA,1.590909,2625,2.970346,2.333844,0.000000,0.000000,
95,vector1,NA,NA,1.553939,2564,2.970346,2.333844,0.000000,0.000000,
96,cube0,0.340000,561,NA,NA,NA,NA,NA,NA,
96,vector0,NA,NA,1.461818,2412,2.970346,2.333844,0.000000,0.000000,
96,vector1,NA,NA,1.432121,2363,2.970346,2.333844,0.000000,0.000000,
97,cube0,0.312727,516,NA,NA,NA,NA,NA,NA,
97,vector0,NA,NA,1.524242,2515,2.970346,2.333844,0.000000,0.000000,
97,vector1,NA,NA,1.586667,2618,2.970346,2.333844,0.000000,0.000000,
98,cube0,0.358182,591,NA,NA,NA,NA,NA,NA,
98,vector0,NA,NA,1.375152,2269,2.970346,2.333844,0.000000,0.000000,
98,vector1,NA,NA,1.502424,2479,2.970346,2.333844,0.000000,0.000000,
99,cube0,0.349091,576,NA,NA,NA,NA,NA,NA,
99,vector0,NA,NA,1.581212,2609,2.970346,2.333844,0.000000,0.000000,
99,vector1,NA,NA,1.663030,2744,2.970346,2.333844,0.000000,0.000000,
100,cube0,0.347273,573,NA,NA,NA,NA,NA,NA,
100,vector0,NA,NA,1.447879,2389,2.970346,2.333844,0.000000,0.000000,
100,vector1,NA,NA,1.482424,2446,2.970346,2.333844,0.000000,0.000000,
101,cube0,0.289091,477,NA,NA,NA,NA,NA,NA,
101,vector0,NA,NA,1.541212,2543,2.970346,2.333844,0.000000,0.000000,
101,vector1,NA,NA,1.575152,2599,2.970346,2.333844,0.000000,0.000000,
102,cube0,0.344848,569,NA,NA,NA,NA,NA,NA,
102,vector0,NA,NA,1.378182,2274,2.970346,2.333844,0.000000,0.000000,
102,vector1,NA,NA,1.474545,2433,2.970346,2.333844,0.000000,0.000000,
103,cube0,0.292121,482,NA,NA,NA,NA,NA,NA,
103,vector0,NA,NA,1.649091,2721,2.970346,2.333844,0.000000,0.000000,
103,vector1,NA,NA,1.719394,2837,2.970346,2.333844,0.000000,0.000000,
104,cube0,0.369091,609,NA,NA,NA,NA,NA,NA,
104,vector0,NA,NA,1.537576,2537,2.970346,2.333844,0.000000,0.000000,
104,vector1,NA,NA,1.548485,2555,2.970346,2.333844,0.000000,0.000000,
105,cube0,0.324242,535,NA,NA,NA,NA,NA,NA,
105,vector0,NA,NA,1.904848,3143,2.970346,2.333844,0.000000,0.000000,
105,vector1,NA,NA,1.751515,2890,2.970346,2.333844,0.000000,0.000000,
106,cube0,0.313939,518,NA,NA,NA,NA,NA,NA,
106,vector0,NA,NA,1.599394,2639,2.970346,2.333844,0.000000,0.000000,
