block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
55,cube0,0.352727,582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
55,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.590303,2624,
55,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.580000,2607,
56,cube0,0.340000,561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
56,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.623636,2679,
56,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.537576,2537,
57,cube0,0.306667,506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
57,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.818788,3001,
57,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.663636,2745,
58,cube0,0.364242,601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
58,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.497576,2471,
58,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.689091,2787,
59,cube0,0.350909,579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
59,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.587879,2620,
59,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.383030,2282,
60,cube0,0.347273,573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
60,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.565455,2583,
60,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.529091,2523,
61,cube0,0.293333,484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
61,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.632121,2693,
61,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.732121,2858,
62,cube0,0.344848,569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
62,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.416970,2338,
62,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.447879,2389,
63,cube0,0.294545,486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
63,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.426667,2354,
63,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.502424,2479,
64,cube0,0.363636,600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
64,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.561818,2577,
64,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.518182,2505,
65,cube0,0.323636,534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
65,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.741818,2874,
65,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.587273,2619,
66,cube0,0.312727,516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
66,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.512727,2496,
66,vector1,NA,NA,NA,NA,NA,NA,NA,NA,2.020000,3333,
67,cube0,0.343030,566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
67,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.695758,2798,
67,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.573333,2596,
68,cube0,0.315152,520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
68,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.518182,2505,
68,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.885455,3111,
69,cube0,0.351515,580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
69,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.736970,2866,
69,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.689697,2788,
70,cube0,0.329697,544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
70,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.373333,2266,
