block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.643030,47261,23.551516,0.122664,18.103031,0.094287,36.244091,10.932121,0.056938,60.018356,0.000000,1.789091,0.009318,0.421212,0.699394,22.391516,23.018183,0.000000,14.450303,0.549091,0.000000,
8,cube0,0.473333,781,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.419394,0.002184,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.121818,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.212122,46550,23.551516,0.122664,17.178183,0.089470,38.195423,10.935758,0.056957,59.998398,0.000000,1.729091,0.009006,0.421212,0.699394,21.937576,22.570910,0.000000,13.990909,0.647879,0.000000,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.246666,46607,23.551516,0.122664,17.249090,0.089839,38.038406,11.046667,0.057535,59.396008,0.000000,1.761818,0.009176,0.421212,0.699394,22.081213,22.629091,0.000000,14.532727,0.549091,0.000000,
9,cube0,0.427273,705,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.391515,0.002039,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.146061,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.748486,45785,23.551516,0.122664,17.024849,0.088671,38.539429,11.216969,0.058422,58.494225,0.000000,1.844849,0.009609,0.421212,0.699394,21.921211,22.406666,0.000000,14.173940,0.626667,0.000000,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.850908,45954,23.551516,0.122664,16.849091,0.087756,38.941448,11.523030,0.060016,56.940571,0.000000,1.903030,0.009912,0.421212,0.699394,22.140606,22.735758,0.000000,14.502424,0.599394,0.000000,
10,cube0,0.440606,727,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.401212,0.002090,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.127879,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.341818,46764,23.551516,0.122664,17.538788,0.091348,37.410107,11.452121,0.059646,57.293140,0.000000,1.886061,0.009823,0.421212,0.699394,21.950302,22.499393,0.000000,14.072122,0.549091,0.000000,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.369091,46809,23.551516,0.122664,16.935757,0.088207,38.742165,11.464849,0.059713,57.229534,0.000000,2.149697,0.011196,0.421212,0.699394,21.587273,22.236969,0.000000,13.759394,0.549091,0.000000,
