block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
38,cube0,0.560000,924,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,29.954546,49425,44.231815,30.622026,0.000000,0.000000,
38,vector1,NA,NA,30.553333,50413,44.231815,30.622026,0.000000,0.000000,
39,cube0,0.363636,600,NA,NA,NA,NA,NA,NA,
39,vector0,NA,NA,30.438787,50224,44.231815,30.622026,0.000000,0.000000,
39,vector1,NA,NA,30.504848,50333,44.231815,30.622026,0.000000,0.000000,
40,cube0,0.333333,550,NA,NA,NA,NA,NA,NA,
40,vector0,NA,NA,44.090302,72749,44.231815,30.622026,0.000000,0.000000,
40,vector1,NA,NA,43.784241,72244,44.231815,30.622026,0.000000,0.000000,
41,cube0,0.355758,587,NA,NA,NA,NA,NA,NA,
41,vector0,NA,NA,44.491516,73411,44.231815,30.622026,0.000000,0.000000,
41,vector1,NA,NA,44.005455,72609,44.231815,30.622026,0.000000,0.000000,
42,cube0,0.327273,540,NA,NA,NA,NA,NA,NA,
42,vector0,NA,NA,44.561817,73527,44.231815,30.622026,0.000000,0.000000,
42,vector1,NA,NA,43.953938,72524,44.231815,30.622026,0.000000,0.000000,
43,cube0,0.326667,539,NA,NA,NA,NA,NA,NA,
43,vector0,NA,NA,43.715153,72130,44.231815,30.622026,0.000000,0.000000,
43,vector1,NA,NA,44.418789,73291,44.231815,30.622026,0.000000,0.000000,
44,cube0,0.361818,597,NA,NA,NA,NA,NA,NA,
44,vector0,NA,NA,44.501213,73427,44.231815,30.622026,0.000000,0.000000,
44,vector1,NA,NA,44.102425,72769,44.231815,30.622026,0.000000,0.000000,
45,cube0,0.309697,511,NA,NA,NA,NA,NA,NA,
45,vector0,NA,NA,44.209091,72945,44.231815,30.622026,0.000000,0.000000,
45,vector1,NA,NA,43.389698,71593,44.231815,30.622026,0.000000,0.000000,
46,cube0,0.336364,555,NA,NA,NA,NA,NA,NA,
46,vector0,NA,NA,44.089092,72747,44.231815,30.622026,0.000000,0.000000,
46,vector1,NA,NA,45.127274,74460,44.231815,30.622026,0.000000,0.000000,
47,cube0,0.331515,547,NA,NA,NA,NA,NA,NA,
47,vector0,NA,NA,43.342422,71515,44.231815,30.622026,0.000000,0.000000,
47,vector1,NA,NA,44.077576,72728,44.231815,30.622026,0.000000,0.000000,
48,cube0,0.372727,615,NA,NA,NA,NA,NA,NA,
48,vector0,NA,NA,44.193939,72920,44.231815,30.622026,0.000000,0.000000,
48,vector1,NA,NA,44.089092,72747,44.231815,30.622026,0.000000,0.000000,
49,cube0,0.329091,543,NA,NA,NA,NA,NA,NA,
49,vector0,NA,NA,44.342422,73165,44.231815,30.622026,0.000000,0.000000,
49,vector1,NA,NA,44.872120,74039,44.231815,30.622026,0.000000,0.000000,
50,cube0,0.336970,556,NA,NA,NA,NA,NA,NA,
