block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
14,cube0,0.437576,722,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.020000,44583,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.596970,43885,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
15,cube0,0.503030,830,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.747879,44134,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.879395,44351,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
16,cube0,0.478182,789,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.876970,44347,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.788485,42551,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
17,cube0,0.459394,758,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.401817,43563,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.050909,42984,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
18,cube0,0.450303,743,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
