block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.149696,43147,14.226666,0.268428,9.472121,0.178719,35.440147,9.737576,0.183728,34.474018,0.000000,1.408485,0.026575,0.188485,0.529091,0.000000,0.000000,0.000000,18.219999,0.120606,0.000000,
8,cube0,0.502424,829,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.443030,0.008359,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.138788,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.004242,42907,14.275758,0.269354,10.008485,0.188839,32.016293,9.236970,0.174282,34.690445,0.000000,1.684242,0.031778,0.195152,0.532727,0.000000,0.000000,0.000000,18.823637,0.331515,0.000000,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.212727,43251,14.275758,0.269354,10.143030,0.191378,31.591602,9.938787,0.187524,32.240810,0.000000,1.546667,0.029182,0.195152,0.532727,0.000000,0.000000,0.000000,19.316969,0.331515,0.000000,
9,cube0,0.514545,849,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.474545,0.008954,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.101818,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.160000,43164,14.275758,0.269354,9.570303,0.180572,33.482178,5.341212,0.100778,59.992855,0.000000,1.558788,0.029411,0.195152,0.532727,0.000000,0.000000,0.000000,18.583031,0.331515,0.000000,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.360001,43494,14.275758,0.269354,9.995757,0.188599,32.057056,5.486061,0.103511,58.408863,0.000000,1.609091,0.030360,0.195152,0.532727,0.000000,0.000000,0.000000,18.516970,0.331515,0.000000,
10,cube0,0.457576,755,0.000000,0.000000,0.003030,0.000057,0.002424,0.000046,0.001212,0.000023,393.390656,0.000606,0.000011,0.000000,0.000000,0.414545,0.007822,0.044242,0.067273,0.000000,0.000000,0.000000,0.000000,0.127879,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.062424,43003,14.275758,0.269354,9.533334,0.179874,33.612015,5.000000,0.094340,64.086914,0.000000,1.760606,0.033219,0.195152,0.532727,0.000000,0.000000,0.000000,18.973940,0.331515,0.000000,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.433939,41966,14.275758,0.269354,9.787879,0.184677,32.737896,5.049091,0.095266,63.463814,0.000000,1.588485,0.029971,0.195152,0.532727,0.000000,0.000000,0.000000,19.384243,0.331515,0.000000,
