block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
19,cube0,0.495152,817,1,0,0,1,0,0,100.000000,0.000000,50.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.858788,44317,1,1344,0,1345,1,1344,0.074349,0.037175,0.049566,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.849091,44301,1345,0,1328,16,1329,17,100.000000,98.773232,99.182159,
20,cube0,0.395758,653,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.115757,39791,1316,29,1,1344,1,1344,97.843864,0.074349,32.664188,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.845455,40995,1345,0,1,1344,1,1344,100.000000,0.074349,33.382900,
21,cube0,0.334545,552,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.001818,39603,30,1315,1338,0,1352,0,2.230483,100.000000,67.410164,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.676970,40717,1,1344,1352,0,1338,0,0.074349,100.000000,66.691452,
22,cube0,0.354545,585,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.334545,40152,1,1344,0,1342,2,1346,0.074349,0.074349,0.074349,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.904242,39442,1,1344,1348,0,1342,0,0.074349,100.000000,66.691452,
23,cube0,0.355152,586,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.569092,40539,1345,0,1345,0,1345,0,100.000000,100.000000,100.000000,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.079393,39731,1345,0,1,1344,1,1344,100.000000,0.074349,33.382900,
