block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.160000,43164,5.976147,5.976147,5.980593,5.978370,23,0.180572,23,0.100778,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.360001,43494,5.976147,5.976147,5.980593,5.978370,23,0.188599,23,0.103511,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
10,cube0,0.457576,755,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.062424,43003,5.976147,5.976147,5.980593,5.978370,23,0.179874,23,0.094340,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.433939,41966,5.976147,5.976147,5.980593,5.978370,23,0.184677,23,0.095266,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
11,cube0,0.489697,808,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.822424,42607,5.976147,5.976147,5.980593,5.978370,23,0.191607,23,0.182013,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.829697,42619,5.976147,5.976147,5.980593,5.978370,23,0.173825,23,0.183373,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
12,cube0,0.449697,742,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.112122,43085,5.976147,5.976147,5.980593,5.978370,23,0.172190,23,0.182893,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
